SampleID,Hap_Name,Haplotype_Seq
M94A,Hap1,
M95A,Hap1,
M96A,Hap1,
M97A,Hap1,
M98A,Hap1,
M99A,Hap1,
M9A,Hap1,
WB1022,Hap1,
WB1023,Hap1,
WB1024,Hap1,
WB1025,Hap1,
WB1026,Hap1,
WB1027,Hap1,
WB1028,Hap1,
WB1029,Hap1,
WB1030,Hap1,
WB1031,Hap1,
WB1032,Hap1,
WB1033,Hap1,
WB1034,Hap1,
WB1035,Hap1,
WB1036,Hap1,
WB1037,Hap1,
WB1038,Hap1,
WB1039,Hap1,
WB1040,Hap1,
WB1041,Hap1,
WB1042,Hap1,
WB1043,Hap1,
WB1044,Hap1,
WB1045,Hap1,
WB1046,Hap1,
WB1047,Hap1,
WB1048,Hap1,
WB1049,Hap1,
WB1050,Hap1,
WB1051,Hap1,
WB1052,Hap1,
WB1053,Hap1,
WB1054,Hap1,
WB1055,Hap1,
WB1056,Hap1,
WB1057,Hap1,
WB1058,Hap1,
WB1059,Hap1,
WB1060,Hap1,
WB1061,Hap1,
WB1062,Hap1,
WB1063,Hap1,
WB1064,Hap1,
WB1065,Hap1,
WB1066,Hap1,
WB1067,Hap1,
WB1068,Hap1,
WB1069,Hap1,
WB1070,Hap1,
WB1071,Hap1,
WB1072,Hap1,
WB1073,Hap1,
WB1074,Hap1,
WB1075,Hap1,
WB1076,Hap1,
WB1077,Hap1,
WB1078,Hap1,
WB1079,Hap1,
WB1080,Hap1,
WB1081,Hap1,
WB1082,Hap1,
WB1083,Hap1,
WB1084,Hap1,
WB1085,Hap1,
WB1086,Hap1,
WB1087,Hap1,
WB1088,Hap1,
WB1089,Hap1,
WB1090,Hap1,
WB1091,Hap1,
WB1092,Hap1,
WB1093,Hap1,
WB1094,Hap1,
WB1095,Hap1,
WB1096,Hap1,
WB1097,Hap1,
WB1098,Hap1,
WB1099,Hap1,
WB1100,Hap1,
WB1101,Hap1,
WB1102,Hap1,
WB1103,Hap1,
WB1104,Hap1,
WB1105,Hap1,
WB1106,Hap1,
WB1107,Hap1,
WB1108,Hap1,
WB1109,Hap1,
WB1110,Hap1,
WB1111,Hap1,
WB1112,Hap1,
WB1113,Hap1,
WB1114,Hap1,
WB1115,Hap1,
WB1116,Hap1,
WB1117,Hap1,
WB1118,Hap1,
WB1119,Hap1,
WB1120,Hap1,
WB1121,Hap1,
WB1122,Hap1,
WB1123,Hap1,
WB1124,Hap1,
WB1125,Hap1,
WB1126,Hap1,
WB1127,Hap1,
WB1128,Hap1,
WB1129,Hap1,
WB1130,Hap1,
WB1131,Hap1,
WB1132,Hap1,
WB1133,Hap1,
WB1134,Hap1,
WB1135,Hap1,
WB1136,Hap1,
WB1137,Hap1,
WB1138,Hap1,
WB1139,Hap1,
WB1140,Hap1,
WB1141,Hap1,
WB1142,Hap1,
WB1143,Hap1,
WB1144,Hap1,
