SampleID,Hap_Name,Haplotype_Seq,Phenotype_1,WT_TPM,SA_TPM
M2A,Hap1,,59.73094225,0.0,0.0
M3-2A,Hap1,,,,
M300A,Hap1,,70.6573729,0.0,0.0
M301A,Hap1,,50.1929156,0.0,0.0
M302A,Hap1,,46.75112218,0.0,0.0
M303A,Hap1,,54.33626125,0.0,0.0
M304A,Hap1,,46.81667325,0.0,0.0
M305A,Hap1,,44.21334439,0.0,0.0
M306A,Hap1,,53.6937463,0.0,0.0
M307A,Hap1,,59.3521417,0.0,0.0
M308A,Hap1,,62.884364,0.0,0.0
M309A,Hap1,,56.8688708,0.0,0.0
M30A,Hap1,,56.3146886,0.0,0.0
M310A,Hap1,,61.5358864,0.0,0.0
M311A,Hap1,,66.26856575,0.0,0.0
M312A,Hap1,,49.14488338,0.0,0.0
M313A,Hap1,,64.16732935,0.0,0.0
M314A,Hap1,,66.69352165,0.0,0.0
M315A,Hap1,,64.40066545,0.0,0.0
M316A,Hap1,,63.3484391,0.0,0.0
M317A,Hap1,,69.8285149,0.0,0.0
M318A,Hap1,,64.964797,0.0,0.0
M319A,Hap1,,66.8362959,0.0,0.0
M31A,Hap1,,49.9277796,0.0,0.0
M320A,Hap1,,62.31381305,0.0,0.0
M321A,Hap1,,68.101389,0.0,0.0
M322A,Hap1,,65.7083396,0.0,0.0
M323A,Hap1,,62.526993,0.0,0.0
M324A,Hap1,,67.8206969,0.0,0.0
M325A,Hap1,,55.67693205,0.0,0.0
M326A,Hap1,,67.6924192,0.0,0.0
M327A,Hap1,,53.82729755,0.0,0.0
M328A,Hap1,,50.57890915,0.0,0.0
M329A,Hap1,,60.6359231,0.0,0.0
M32A,Hap1,,53.4763017,0.0,0.0
M330A,Hap1,,51.95421805,0.0,0.0
M331A,Hap1,,53.72452825,0.0,0.0
M332A,Hap1,,56.01662345,0.0,0.0
M333A,Hap1,,62.54090085,0.0,0.0
M334A,Hap1,,57.45372835,0.0,0.0
M335A,Hap1,,55.60395935,0.0,0.0
M336A,Hap1,,57.2356123,0.0,0.0
M337A,Hap1,,58.41090255,0.0,0.0
M338A,Hap1,,62.0382517,0.0,0.0
M339A,Hap1,,53.8587292,0.0,0.0
M33A,Hap1,,47.93790082,0.0,0.0
M340A,Hap1,,70.4528478,0.0,0.0
M341A,Hap1,,48.02099578,0.0,0.0
M342A,Hap1,,68.90697895,0.0,0.0
M343A,Hap1,,61.95712855,0.0,0.0
M344A,Hap1,,64.89930835,0.0,0.0
M345A,Hap1,,60.00824365,0.0,0.0
M346A,Hap1,,60.14636845,0.0,0.0
M347A,Hap1,,57.73257575,0.0,0.0
M348A,Hap1,,61.93894565,0.0,0.0
M349A,Hap1,,58.2693778,0.0,0.0
M34A,Hap1,,48.33846992,0.0,0.0
M350A,Hap1,,55.0483113,0.0,0.0
M351A,Hap1,,61.09650785,0.0,0.0
M352A,Hap1,,56.7034157,0.0,0.0
M353A,Hap1,,64.49350605,0.0,0.0
M354A,Hap1,,56.75663585,0.0,0.0
M355A,Hap1,,57.8004423,0.0,0.0
M356A,Hap1,,62.60985265,0.0,0.0
M357A,Hap1,,65.51293715,,
M358A,Hap1,,66.088424,,
M359A,Hap1,,61.81205215,,
M35A,Hap1,,54.19444605,0.0,0.0
M360A,Hap1,,64.41193425,,
M361A,Hap1,,58.03285055,,
M362A,Hap1,,65.58727955,,
M363A,Hap1,,62.52352615,,
M364A,Hap1,,55.5593934,,
M365A,Hap1,,63.40918075,,
M366A,Hap1,,62.7821569,,
M367A,Hap1,,61.63436635,,
M368A,Hap1,,61.6957644,,
M369A,Hap1,,66.16046185,,
M36A,Hap1,,45.97482442,0.0,0.0
M370A,Hap1,,60.4197696,,
M371A,Hap1,,70.61122775,,
M372A,Hap1,,60.6205676,,
M373A,Hap1,,71.22961105,,
M374A,Hap1,,49.46331438,,
M375A,Hap1,,65.2906037,,
M376A,Hap1,,64.37553765,,
M377A,Hap1,,70.1175735,,
M378A,Hap1,,55.7795476,,
M379A,Hap1,,84.0944553,,
M37A,Hap1,,48.83419534,0.0,0.0
M380A,Hap1,,71.1937864,,
M381A,Hap1,,64.1476712,,
M382A,Hap1,,67.8611627,,
M383A,Hap1,,49.78395467,,
M384A,Hap1,,58.4622701,,
M385A,Hap1,,62.7951306,,
M386A,Hap1,,62.0991597,,
M387A,Hap1,,54.6955654,,
M388A,Hap1,,55.5402569,,
M389A,Hap1,,53.31223325,,
M38A,Hap1,,50.7811195,0.0,0.0
M390A,Hap1,,58.41770665,,
M391A,Hap1,,53.17185635,,
M392A,Hap1,,54.07852135,,
M393A,Hap1,,57.17010855,,
M394A,Hap1,,58.11902995,,
M395A,Hap1,,54.2508216,,
M396A,Hap1,,50.08745015,,
M397A,Hap1,,57.4263092,,
M398A,Hap1,,54.26511495,,
M399A,Hap1,,51.5351169,,
M39A,Hap1,,54.1324907,0.0,0.0
M400A,Hap1,,62.4294433,,
M401A,Hap1,,55.9212641,,
M402A,Hap1,,52.18675885,,
M403A,Hap1,,55.2328605,,
M404A,Hap1,,61.63258535,,
M405A,Hap1,,50.63436295,,
M406A,Hap1,,48.07573661,,
M407A,Hap1,,53.51721925,,
M408A,Hap1,,55.67254015,,
M409A,Hap1,,53.29090645,,
M40A,Hap1,,54.5578576,0.0,0.0
M410A,Hap1,,53.4389802,,
M411A,Hap1,,60.83438325,,
M412A,Hap1,,53.5318943,,
M413A,Hap1,,62.45377485,,
M414A,Hap1,,56.60221375,,
M415A,Hap1,,55.54537775,,
M416A,Hap1,,67.4996893,,
M417A,Hap1,,57.1288748,,
M418A,Hap1,,52.0636544,,
M419A,Hap1,,50.05435475,,
M41A,Hap1,,62.18054275,0.0,0.0
M420A,Hap1,,58.21517115,,
M421A,Hap1,,56.52190185,,
M422A,Hap1,,51.5796262,,
M423A,Hap1,,59.2197311,,
M424A,Hap1,,61.3120911,,
M425A,Hap1,,62.18783635,,
M426A,Hap1,,60.05012775,,
M427A,Hap1,,60.4547768,,
M428A,Hap1,,53.56453705,,
M429A,Hap1,,64.57776465,,
M42A,Hap1,,54.7904378,0.0,0.0
M430A,Hap1,,62.36915975,,
M431A,Hap1,,56.9884952,,
M432A,Hap1,,51.9166346,,
M433A,Hap1,,48.9374265,,
M434A,Hap1,,55.5674347,,
M435A,Hap1,,55.76244395,,
M436A,Hap1,,48.27638161,,
M437A,Hap1,,49.64410875,,
M438A,Hap1,,52.2787188,,
M439A,Hap1,,51.96707475,,
M43A,Hap1,,42.99483179,0.0,0.0
M440A,Hap1,,48.93783866,,
M441A,Hap1,,53.15127755,,
M442A,Hap1,,45.95834435,,
M443A,Hap1,,51.1456846,,
M444A,Hap1,,62.01382145,,
M445A,Hap1,,50.7590767,,
M446A,Hap1,,56.9593405,,
M447A,Hap1,,49.57225203,,
M448A,Hap1,,50.69069305,,
M449A,Hap1,,51.40770675,,
M44A,Hap1,,52.6399984,0.0,0.0
M450A,Hap1,,49.32047874,,
M451A,Hap1,,53.6302285,,
M452A,Hap1,,54.5710514,,
M453A,Hap1,,53.8877834,,
M454A,Hap1,,59.91360295,,
M455A,Hap1,,58.44171235,,
M456A,Hap1,,59.2125844,,
M457A,Hap1,,60.1414308,,
M458A,Hap1,,60.01506335,,
M459A,Hap1,,58.350176,,
M45A,Hap1,,55.8282163,0.0,0.0
M460A,Hap1,,54.8666231,,
M461A,Hap1,,50.942347,,
M462A,Hap1,,50.4724461,,
M463A,Hap1,,54.49799375,,
M464A,Hap1,,58.7363289,,
M465A,Hap1,,56.1241175,,
M466A,Hap1,,52.15832545,,
M467A,Hap1,,55.98175765,,
M468A,Hap1,,59.36346065,,
M469A,Hap1,,53.00378795,,
M46A,Hap1,,54.79961855,0.0,0.0
M470A,Hap1,,50.1121869,,
M471A,Hap1,,50.6303603,,
M472A,Hap1,,48.88192379,,
M473A,Hap1,,53.52086205,,
M474A,Hap1,,48.48639365,,
M475A,Hap1,,46.30040879,,
M476A,Hap1,,53.09677845,,
M477A,Hap1,,54.6320763,,
M478A,Hap1,,47.7345293,,
M479A,Hap1,,53.9159752,,
M47A,Hap1,,51.68148715,0.0,0.0
M480A,Hap1,,56.21818175,,
M481A,Hap1,,38.05604295,,
M482A,Hap1,,48.53383159,,
M483A,Hap1,,54.47334305,,
M484A,Hap1,,46.51643956,,
M485A,Hap1,,37.91746223,,
M486A,Hap1,,65.9247516,,
M487A,Hap1,,47.95130369,,
M488A,Hap1,,58.9910367,,
M489A,Hap1,,45.62955889,,
M48A,Hap1,,47.32094716,0.0,0.0
M490A,Hap1,,52.27782885,,
M491A,Hap1,,66.56141175,,
M492A,Hap1,,60.57667685,,
M493A,Hap1,,43.45882854,,
M494A,Hap1,,49.2395089,,
M495A,Hap1,,52.7262107,,
M496A,Hap1,,65.20691405,,
M497A,Hap1,,55.77655285,,
M498A,Hap1,,68.3185996,,
M499A,Hap1,,76.8094799,,
M49A,Hap1,,56.4998959,0.0,0.0
M4A,Hap1,,50.86570735,0.0,0.0
M500A,Hap1,,68.12502245,,
M501A,Hap1,,63.2274694,,
M502A,Hap1,,64.5144392,,
M503A,Hap1,,52.700001,,
M504A,Hap1,,62.8027903,,
M505A,Hap1,,70.66023355,,
M506A,Hap1,,66.41312885,,
M507A,Hap1,,65.51816985,,
M508A,Hap1,,52.6914547,,
M509A,Hap1,,67.85219385,,
M50A,Hap1,,53.05270355,0.0,0.0
M510A,Hap1,,66.3730712,,
M511A,Hap1,,59.943062,,
M512A,Hap1,,54.3043709,,
M513A,Hap1,,49.64978759,,
M514A,Hap1,,52.77938575,,
M515A,Hap1,,56.3264979,,
M516A,Hap1,,56.96606055,,
M517A,Hap1,,57.15216755,,
M518A,Hap1,,57.52161695,,
M519A,Hap1,,51.1202122,,
M51A,Hap1,,49.45430001,0.0,0.0
M520A,Hap1,,63.002343,,
M521A,Hap1,,59.262588,,
M522A,Hap1,,44.00226824,,
M523A,Hap1,,43.6230246,,
M52A,Hap1,,55.7980929,0.0,0.0
M53A,Hap1,,58.2646018,0.0,0.0
M54A,Hap1,,58.70155045,0.0,0.0
M55A,Hap1,,56.6146813,0.0,0.0
M56A,Hap1,,49.27005102,0.0,0.0
M57A,Hap1,,57.0799826,0.0,0.0
M58A,Hap1,,55.34176855,0.0,0.0
M59A,Hap1,,55.3110264,0.0,0.0
M5A,Hap1,,53.7426158,0.0,0.0
M60A,Hap1,,53.67828695,0.0,0.0
M61A,Hap1,,53.98660085,0.0,0.0
M62A,Hap1,,52.3523888,0.0,0.0
M63A,Hap1,,43.94305867,0.0,0.0
M64A,Hap1,,54.20394085,0.0,0.0
M65A,Hap1,,54.19468665,0.0,0.0
M66A,Hap1,,58.7604883,0.0,0.0
M67A,Hap1,,53.88934155,0.0,0.0
M68A,Hap1,,50.5892159,0.0,0.0
M69A,Hap1,,54.41088835,0.0,0.0
M6A,Hap1,,51.14929445,0.0,0.0
M70A,Hap1,,49.33395699,0.0,0.0
M71A,Hap1,,47.63698236,0.0,0.0
M72A,Hap1,,58.01312345,0.0,0.0
M73A,Hap1,,49.6047465,0.0,0.0
M74A,Hap1,,53.73983895,0.0,0.0
M75A,Hap1,,51.7223633,0.0,0.0
M76A,Hap1,,49.82127824,0.0,0.0
M77A,Hap1,,56.09597525,0.0,0.0
M78A,Hap1,,57.43537085,0.0,0.0
M79A,Hap1,,57.71232185,0.0,0.0
M7A,Hap1,,46.34811325,0.0,0.0
M80A,Hap1,,61.56739495,0.0,0.0
M81A,Hap1,,58.9124923,0.0,0.0
M82A,Hap1,,57.44093295,0.0,0.0
M83A,Hap1,,45.98681928,0.0,0.0
M84A,Hap1,,60.62279875,0.0,0.0
M85A,Hap1,,50.94653285,0.0,0.0
M86A,Hap1,,58.5619702,0.0,0.0
M87A,Hap1,,58.6022181,0.0,0.0
M88A,Hap1,,55.32547565,0.0,0.0
M89A,Hap1,,58.1726327,0.0,0.0
M8A,Hap1,,43.03795998,0.0,0.0
M90A,Hap1,,59.82250825,0.0,0.0
M91A,Hap1,,45.60533659,0.0,0.0
M92A,Hap1,,54.8326887,0.0,0.0
M93A,Hap1,,59.7916955,0.0,0.0
M94A,Hap1,,55.7626126,0.0,0.0
M95A,Hap1,,49.99280849,0.0,0.0
M96A,Hap1,,53.86188165,0.0,0.0
M97A,Hap1,,59.06239985,0.0,0.0
M98A,Hap1,,61.65564575,0.0,0.0
M99A,Hap1,,56.93544995,0.0,0.0
M9A,Hap1,,58.9207585,0.0,0.0
WB1022,Hap1,,,,
WB1023,Hap1,,,,
WB1024,Hap1,,40.39383496,,
WB1025,Hap1,,,,
WB1026,Hap1,,,,
WB1027,Hap1,,,,
WB1028,Hap1,,,,
WB1029,Hap1,,53.29731605,,
WB1030,Hap1,,,,
WB1031,Hap1,,,,
WB1032,Hap1,,47.17433127,,
WB1033,Hap1,,50.46483565,,
WB1034,Hap1,,49.30121647,,
WB1035,Hap1,,,,
WB1036,Hap1,,49.66775358,,
WB1037,Hap1,,51.8095851,,
WB1038,Hap1,,56.1896144,,
WB1039,Hap1,,52.45768815,,
WB1040,Hap1,,51.2593148,,
WB1041,Hap1,,,,
WB1042,Hap1,,35.86463216,,
WB1043,Hap1,,40.24552555,,
WB1044,Hap1,,46.56446763,,
WB1045,Hap1,,49.56833415,,
WB1046,Hap1,,53.9557625,,
WB1047,Hap1,,54.27483395,,
WB1048,Hap1,,,,
WB1049,Hap1,,47.88605011,,
WB1050,Hap1,,,,
WB1051,Hap1,,50.81374635,,
WB1052,Hap1,,55.91327205,,
WB1053,Hap1,,53.18305375,,
WB1054,Hap1,,49.24589524,,
WB1055,Hap1,,49.6048378,,
WB1056,Hap1,,,,
WB1057,Hap1,,49.02459413,,
WB1058,Hap1,,49.56362979,,
WB1059,Hap1,,,,
WB1060,Hap1,,52.95032295,,
WB1061,Hap1,,,,
WB1062,Hap1,,50.4149399,,
WB1063,Hap1,,48.95829539,,
WB1064,Hap1,,45.82647003,,
WB1065,Hap1,,48.67034636,,
WB1066,Hap1,,,,
WB1067,Hap1,,47.81978485,,
WB1068,Hap1,,44.82308493,,
WB1069,Hap1,,50.1460881,,
WB1070,Hap1,,,,
WB1071,Hap1,,52.91990125,,
WB1072,Hap1,,48.98599062,,
WB1073,Hap1,,54.17138585,,
WB1074,Hap1,,49.25423251,,
WB1075,Hap1,,49.67218886,,
WB1076,Hap1,,43.27572064,,
WB1077,Hap1,,46.3188854,,
WB1078,Hap1,,47.70381409,,
WB1079,Hap1,,56.2086854,,
WB1080,Hap1,,51.944032,,
WB1081,Hap1,,53.2013761,,
WB1082,Hap1,,46.14301354,,
WB1083,Hap1,,46.84061514,,
WB1084,Hap1,,45.35470411,,
WB1085,Hap1,,52.42982015,,
WB1086,Hap1,,52.06889015,,
WB1087,Hap1,,,,
WB1088,Hap1,,44.9927433,,
WB1089,Hap1,,49.44012057,,
WB1090,Hap1,,46.52438493,,
WB1091,Hap1,,,,
WB1092,Hap1,,54.1659281,,
WB1093,Hap1,,72.93522875,,
WB1094,Hap1,,,,
WB1095,Hap1,,59.27580725,,
WB1096,Hap1,,59.03534905,,
WB1097,Hap1,,,,
WB1098,Hap1,,49.92225187,,
WB1099,Hap1,,61.26342755,,
WB1100,Hap1,,58.22773905,,
WB1101,Hap1,,61.61386305,,
WB1102,Hap1,,52.2932167,,
WB1103,Hap1,,64.3402188,,
WB1104,Hap1,,60.1923207,,
WB1105,Hap1,,52.44621245,,
WB1106,Hap1,,,,
WB1107,Hap1,,46.88388952,,
WB1108,Hap1,,46.71515194,,
WB1109,Hap1,,44.57548292,,
WB1110,Hap1,,47.84996021,,
WB1111,Hap1,,52.2377736,,
WB1112,Hap1,,54.1207954,,
WB1113,Hap1,,52.0397145,,
WB1114,Hap1,,49.09683131,,
WB1115,Hap1,,,,
WB1116,Hap1,,,,
WB1117,Hap1,,43.96577899,,
WB1118,Hap1,,,,
WB1119,Hap1,,44.8496513,,
WB1120,Hap1,,,,
WB1121,Hap1,,,,
WB1122,Hap1,,42.87296079,,
WB1123,Hap1,,42.80564082,,
WB1124,Hap1,,,,
WB1125,Hap1,,47.61035346,,
